number,value,params_model_type
0,39130.18700004174,XGBoost
1,38971.182051405434,RandomForest
2,31520.952769968113,XGBoost
3,34373.187612046284,RandomForest
4,31946.692539191812,XGBoost
5,36588.057405731706,RandomForest
6,33311.585840995096,RandomForest
7,37714.845809084545,RandomForest
8,33755.13226569435,RandomForest
9,35296.313537692666,RandomForest
10,37778.56443359724,XGBoost
11,33507.47558119175,XGBoost
12,35110.98254488949,XGBoost
13,32659.595361305164,XGBoost
14,31749.938897926484,XGBoost
15,35189.19135711476,XGBoost
16,33971.44053604127,XGBoost
17,34498.7622962439,XGBoost
18,37779.33985245641,XGBoost
19,32347.265341038346,XGBoost
