number,value,params_model_type
0,42047.470236321285,XGBoost
1,43743.48243695131,RandomForest
2,44737.60542952352,XGBoost
3,45041.47938825456,RandomForest
4,42925.45333833505,XGBoost
5,44636.01966152447,RandomForest
6,47338.34801575513,RandomForest
7,47242.06820788244,RandomForest
8,45349.82105488989,RandomForest
9,48524.887610285434,RandomForest
10,37340.16404423645,XGBoost
11,36628.95175565346,XGBoost
12,36796.59740057746,XGBoost
13,40419.61138563711,XGBoost
14,43667.66073090607,XGBoost
15,36703.17786349262,XGBoost
16,39280.99517983156,XGBoost
17,40622.57362041884,XGBoost
18,45718.80636988441,XGBoost
19,38730.64859187964,XGBoost
